id,statement,clean_statement,label,label_binary,subject,speaker,party,job,state,subject_code,party_code,speaker_code,job_code,state_code,statement_length,word_count,has_question,has_exclamation,has_quotes,uppercase_ratio,avg_word_length
2635.json,Says the Annies List political group supports third-trimester abortions on demand.,says the annies list political group supports thirdtrimester abortions on demand.,false,0,abortion,dwayne-bohac,republican,State representative,Texas,30,19,814,869,62,81,11,0,0,0,0.036585365853658534,6.454545454545454
10540.json,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,when did the decline of coal start? it started when natural gas took off that started to begin in president george w. bushs administration.,half-true,1,"energy,history,job-accomplishments",scott-surovell,democrat,State delegate,Virginia,2570,5,2491,867,69,139,24,1,0,0,0.0425531914893617,4.833333333333333
324.json,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",hillary clinton agrees with john mccain by voting to give george bush the benefit of the doubt on iran.,mostly-true,1,foreign-policy,barack-obama,democrat,President,Illinois,2863,5,182,642,19,103,19,0,0,1,0.0761904761904762,4.473684210526316
1123.json,Health care reform legislation is likely to mandate free sex change surgeries.,health care reform legislation is likely to mandate free sex change surgeries.,false,0,health-care,blog-posting,none,unknown,unknown,3075,16,272,1176,84,78,12,0,0,0,0.01282051282051282,5.583333333333333
9028.json,The economic turnaround started at the end of my term.,the economic turnaround started at the end of my term.,half-true,1,"economy,jobs",charlie-crist,democrat,unknown,Florida,2182,5,428,1176,13,54,10,0,0,0,0.018518518518518517,4.5
12465.json,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,the chicago bears have had more starting quarterbacks in the last years than the total number of tenured uw faculty fired during the last two decades.,true,1,education,robin-vos,republican,Wisconsin Assembly speaker,Wisconsin,2311,19,2380,977,79,150,26,0,0,0,0.03225806451612903,4.8076923076923075
2342.json,Jim Dunnam has not lived in the district he represents for years now.,jim dunnam has not lived in the district he represents for years now.,barely-true,0,candidates-biography,republican-party-texas,republican,unknown,Texas,462,19,2283,1176,62,69,13,0,0,0,0.028985507246376812,4.384615384615385
153.json,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",im the only person on this stage who has worked actively just last year passing along with russ feingold some of the toughest ethics reform since watergate.,half-true,1,ethics,barack-obama,democrat,President,Illinois,2652,5,182,642,19,156,27,0,0,0,0.025157232704402517,4.814814814814815
5602.json,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",however it took . million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations centerpacific.,half-true,1,jobs,oregon-lottery,organization,unknown,unknown,3458,18,2091,1176,84,138,23,0,0,0,0.09027777777777778,5.043478260869565
9741.json,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost million in higher electricity costs.,mostly-true,1,"energy,message-machine-2014,voting-record",duey-stroebel,republican,State representative,Wisconsin,2582,19,808,869,79,127,20,0,0,0,0.06060606060606061,5.4
