feature,importance
says,0.009842902759407902
percent,0.007615001372276708
obama,0.005918016565195437
obamacare,0.004045776346096169
state,0.003953631747646272
million,0.003829020835250881
president,0.0036264951844755537
years,0.00358231926181856
states,0.00342558344752924
people,0.0032648561532561083
year,0.0030838989010580826
tax,0.0029376263130049818
care,0.0027147362100049055
texas,0.0025983822742125682
average,0.002583973617800784
new,0.0025570270341644815
billion,0.002548432662149951
voted,0.0025240066037309273
rep,0.002489939136843142
said,0.002489801075003158
health,0.002415171259939783
clinton,0.002409955818146116
barack,0.002402096391170628
taxes,0.0023975078074590676
plan,0.0023431686230336903
rate,0.0023227649003554956
debt,0.002320752366774137
country,0.0023000688524403997
wants,0.002224388805786484
america,0.0022115285172423548
jobs,0.002175290101366417
away,0.0021262440033951884
budget,0.0021187662760205356
law,0.0020993676238721675
senate,0.0020698501231083714
money,0.0020555596949638345
barack obama,0.002034456459384294
wisconsin,0.0020312007735264824
health care,0.002017994240769255
times,0.0019830325688683518
government,0.001958711848159015
campaign,0.0019578066750081317
time,0.00195606562399498
day,0.0019394547199962004
women,0.0019061945438725253
countries,0.0018891321992552516
americans,0.0018847176345697045
georgia,0.0018709088099467211
say,0.0018556864410310533
hillary,0.0018279012945628611
cut,0.0017521440306229098
pay,0.0017513881342565024
federal,0.001744760050242238
just,0.0017371427807687406
obamas,0.001733594972556321
today,0.0017218477342047047
national,0.0017196245328487871
abortion,0.001691885121999376
vote,0.001685143184546283
medicare,0.0016845296466956319
dont,0.0016636490471276496
house,0.0016425760331957833
scott,0.0016334975394274808
schools,0.0016044110211940734
united,0.0015868158644822094
spending,0.0015800367105633158
illegal,0.0015664868639953507
social,0.0015596903425202564
republican,0.001553268538496235
democrats,0.001548041765629521
funding,0.001512662857388999
congress,0.0015093550631338998
like,0.001504254120352113
security,0.001476857637324466
united states,0.0014755490193562402
half,0.0014637471011978856
public,0.0014491834918687787
florida,0.0014464391101387663
going,0.0014120488837412201
walker,0.0014086818826070104
children,0.0014041862627815216
didnt,0.0014032160922636085
stimulus,0.001402292277574104
